latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.475,-105.396,310.6,1.4,1.2,2020-10-20,0520,T,80,6.0NRT,278.6,22.4,N
40.473,-105.412,311.6,1.4,1.2,2020-10-20,0520,T,83,6.0NRT,279.1,23.9,N
40.488,-105.484,323.9,1.4,1.2,2020-10-20,0520,T,100,6.0NRT,283,41.7,N
40.498,-105.488,305.9,1.4,1.2,2020-10-20,0520,T,66,6.0NRT,279,18,N
40.497,-105.504,306.9,1.4,1.2,2020-10-20,0520,T,70,6.0NRT,281,18.9,N
40.554,-105.522,374.5,1.4,1.2,2020-10-20,0520,T,100,6.0NRT,283.2,229.5,N
40.552,-105.538,322.1,1.4,1.2,2020-10-20,0520,T,100,6.0NRT,280.1,40,N
40.565,-105.626,306.3,1.4,1.2,2020-10-20,0520,T,68,6.0NRT,277.9,18.6,N
40.574,-105.644,315.9,1.4,1.2,2020-10-20,0520,T,92,6.0NRT,277,29.4,N
40.685,-106.798,308.8,1.2,1.1,2020-10-20,0520,T,76,6.0NRT,274.4,19.3,N
40.351,-111.613,302.5,1,1,2020-10-20,0520,T,49,6.0NRT,281.6,9.1,N
40.614,-110.526,301.9,1,1,2020-10-20,0520,T,45,6.0NRT,279.9,8.7,N
41.018,-111.429,301.1,1,1,2020-10-20,0520,T,37,6.0NRT,277,8.6,N
42.686,-111.593,307.6,1,1,2020-10-20,0525,T,72,6.0NRT,276.5,13.2,N
48.399,-116.604,304.1,1.1,1.1,2020-10-20,0525,T,59,6.0NRT,274.2,12.6,N
48.678,-116.56,312.5,1.1,1.1,2020-10-20,0525,T,85,6.0NRT,273.9,19.5,N
49.059,-114.55,324.9,1,1,2020-10-20,0525,T,100,6.0NRT,274.2,28.6,N
49.057,-114.564,305.4,1,1,2020-10-20,0525,T,61,6.0NRT,272.9,11.1,N
49.068,-114.553,316.1,1,1,2020-10-20,0525,T,92,6.0NRT,273,19.4,N
49.071,-114.597,306.7,1,1,2020-10-20,0525,T,69,6.0NRT,272.4,12.4,N
49.069,-114.61,302.3,1,1,2020-10-20,0525,T,48,6.0NRT,272.5,10.4,N
48.973,-115.282,304.2,1,1,2020-10-20,0525,T,59,6.0NRT,272.1,10.6,N
48.984,-115.271,300.9,1,1,2020-10-20,0525,T,28,6.0NRT,273.9,8.6,N
49.097,-117.378,305.6,1.2,1.1,2020-10-20,0525,T,65,6.0NRT,272.6,15.1,N
22.262,-97.824,305.6,2.6,1.6,2020-10-20,0515,T,65,6.0NRT,293.5,17.9,N
34.644,-87.085,301.5,1.2,1.1,2020-10-20,0755,A,41,6.0NRT,288.2,8.2,N
22.268,-97.802,303.3,1.4,1.2,2020-10-20,0800,A,54,6.0NRT,292.3,7.6,N
19.572,-92.24,320.2,1.1,1,2020-10-20,0800,A,100,6.0NRT,297.4,16.8,N
19.57,-92.229,324.5,1.1,1,2020-10-20,0800,A,100,6.0NRT,297.6,22.1,N
19.447,-92.031,317.6,1.1,1.1,2020-10-20,0800,A,94,6.0NRT,297.7,14.4,N
19.437,-92.033,320.1,1.1,1.1,2020-10-20,0800,A,100,6.0NRT,297.6,17.2,N
19.428,-92.073,309.4,1.1,1.1,2020-10-20,0800,A,66,6.0NRT,297.3,6.7,N
19.393,-92.035,310,1.1,1.1,2020-10-20,0800,A,69,6.0NRT,297.5,7,N
19.186,-96.235,310.4,1.1,1,2020-10-20,0800,A,80,6.0NRT,292.4,9.9,N
19.184,-96.225,302.7,1.1,1,2020-10-20,0800,A,51,6.0NRT,292.1,4.2,N
17.896,-92.486,317.4,1.1,1.1,2020-10-20,0800,A,95,6.0NRT,293,15.7,N
17.903,-93.185,311.9,1.1,1,2020-10-20,0800,A,84,6.0NRT,291.6,10.9,N
17.901,-93.176,312,1.1,1,2020-10-20,0800,A,84,6.0NRT,291.2,11.1,N
17.893,-93.187,315.8,1.1,1,2020-10-20,0800,A,92,6.0NRT,290.9,14.4,N
17.892,-93.177,313.7,1.1,1,2020-10-20,0800,A,88,6.0NRT,290.4,12.7,N
17.848,-93.12,307.7,1.1,1,2020-10-20,0800,A,72,6.0NRT,289.5,7.9,N
17.846,-93.111,304,1.1,1,2020-10-20,0800,A,58,6.0NRT,289.5,5.3,N
40.575,-105.639,313.4,2,1.4,2020-10-20,0935,A,87,6.0NRT,276.9,46.6,N
40.57,-105.616,305.3,2,1.4,2020-10-20,0935,A,64,6.0NRT,277.5,30.8,N
40.468,-105.266,306.1,2.1,1.4,2020-10-20,0935,A,67,6.0NRT,281,32.5,N
40.462,-105.24,303.8,2.1,1.4,2020-10-20,0935,A,57,6.0NRT,279.5,29.2,N
40.476,-105.421,300.6,2.1,1.4,2020-10-20,0935,A,21,6.0NRT,280.9,20.1,N
40.471,-105.399,331.7,2.1,1.4,2020-10-20,0935,A,100,6.0NRT,285.1,101.7,N
40.466,-105.377,304.4,2.1,1.4,2020-10-20,0935,A,60,6.0NRT,281.1,26.9,N
40.134,-105.336,305.8,2.1,1.4,2020-10-20,0935,A,32,6.0NRT,279.7,27.9,N
40.135,-105.344,300.7,2.1,1.4,2020-10-20,0935,A,32,6.0NRT,279.4,21.5,N
40.128,-105.315,302.4,2.1,1.4,2020-10-20,0935,A,44,6.0NRT,280.7,24.4,N
40.217,-106.081,326.9,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,278.3,77.4,N
40.212,-106.058,311.8,1.9,1.4,2020-10-20,0935,A,83,6.0NRT,277.7,40.2,N
40.233,-106.212,303.9,1.9,1.3,2020-10-20,0935,A,25,6.0NRT,276.6,23,N
40.228,-106.192,328.3,1.9,1.3,2020-10-20,0935,A,100,6.0NRT,279.8,78.4,N
40.224,-106.172,309.3,1.9,1.3,2020-10-20,0935,A,66,6.0NRT,277.1,32.3,N
40.205,-106.086,321.1,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,276.7,60.6,N
