aes,wmo,REP_DATE,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,sog,ffmc,dmc,dc,bui,isi,fwi,dsr,opts,calcstatus,Station,Distance,name,lon,lat,elev,ACQ_DATE,ATTK_DATE,CAUSE,CFS_ECOZ,CFS_NOTE1,CFS_NOTE2,CFS_REF_ID,DECADE,ECODISTRIC,ECOREGION,ECOZONE,FIRENAME,FIRE_ID,FIRE_TYPE,LATITUDE,LONGITUDE,MORE_INFO,OUT_DATE,PROTZONE,SIZE_HA,SRC_AGENCY,SRC_AGY2,fire_label,Month,Year
2100LRP,71966,5/23/19,21,3.5,31,13,19.3,42,1011,32.2,0.8,0,0,90,66.4,186.9,70.4,8.3,23.2,7.1,                          M=1:          ,1,CWON,47.24466572,DAWSON,-139.133,64.067,370,5/12/20,,L,12, , ,YT-2019-2019DA010,2010-2019,896,175,12, ,2019DA010, ,63.64226667,-137.9234167,Pigue Creek,,Transition FMZ,111180,YT,YT,1,5,2019
114B1F0,71770,5/23/19,21.5,3.7,31,11,17.7,291,1013.1,26.8,0,5,0,91.3,82.6,247.6,90,9,28,9.9,                          M=1:          ,1,CWJR,24.82595568,CRESTON+CAMPBELL+SCIENTIFIC,-116.5,49.083,641,5/5/20,,L,14, , ,BC-2019-2019-N70351,2010-2019,991,205,14, ,2019-N70351,Fire,49.1129,-115.9548, ,, ,1.25,BC,BC,1,5,2019
4064149,71586,5/23/19,15.8,2.7,41.6,22.2,31.2,120,1016,19.5,0,10,0,90.1,25.9,72.1,27.3,13.4,20.3,5.6,                          M=1:          ,1,CXOX,39.26548991,LA+RONGE+RCS,-105.267,55.15,379,4/3/20,,L,9, , ,SK-2019-19LF-CLARKE,2010-2019,646,139,9,19LF-CLARKE,19LF-CLARKE,Wildfire,54.6577,-104.77655, ,5/25/19 0:00, ,0.3,SK,SK,1,5,2019
1152106,71660,5/24/19,16.6,1.5,36,12.4,23.9,351,1004.2,27.2,0,5,0,91.2,31.8,140.1,40.6,9.5,19.2,5.1,                          M=1:          ,1,CVXC,32.53076797,CRANBROOK+AIRPORT+AUTO,-115.783,49.617,927,5/5/20,,L,14, , ,BC-2019-2019-N10350,2010-2019,1015,213,14, ,2019-N10350,Fire,49.2691,-115.2967, ,, ,0.2,BC,BC,1,5,2019
1125073,71557,5/24/19,14.8,9.5,71,9.8,17.3,303,1009.4,26.6,3.6,0,0,61.3,42.1,201.4,55.3,0.7,2,0.1,                          M=1:          ,1,CVME,7.800100555,MERRITT,-120.783,50.117,591,5/5/20,,L,14, , ,BC-2019-2019-K60356,2010-2019,1006,209,14, ,2019-K60356,Fire,50.097,-120.6103, ,, ,0.009,BC,BC,1,5,2019
2100LRP,71966,5/25/19,17.6,8.6,56,4.1,8.8,172,1018.5,32.2,1.6,0,0,76.7,68.8,198.2,73.7,1,4.1,0.3,                          M=1:          ,1,CWON,97.97878792,DAWSON,-139.133,64.067,370,5/12/20,,L,11, , ,YT-2019-2019DA012,2010-2019,866,168,11, ,2019DA012, ,65.17533333,-137.085,Hart River,,Wilderness FMZ,97,YT,YT,1,5,2019
4064149,71586,5/25/19,9.7,-1.4,46.2,11.1,21.9,120,1018.1,20.3,1.3,0,0,78.3,27.7,80,29.7,1.7,3.5,0.2,                          M=1:          ,1,CXOX,53.9101815,LA+RONGE+RCS,-105.267,55.15,379,4/3/20,,L,9, , ,SK-2019-19DB-SANDY,2010-2019,654,139,9,19DB-SANDY,19DB-SANDY,Wildfire,54.633283,-104.25475, ,5/27/19 0:00, ,1.2,SK,SK,1,5,2019
3073140,71066,5/26/19,23,0,21.8,11.1,11.1,220,1015.1,6.4,0,11,0,93.2,63.5,203.9,71.4,11.8,29.8,11.1,                          M=1:          ,1,CYOJ,65.62832728,HIGH+LEVEL+A,-117.167,58.617,338,6/1/20,,L,4, , ,AB-2019-HWF063,2010-2019,242,64,4, ,HWF063,Wildfire,59.561033,-117.338117, ,, ,0.1,AB,AB,1,5,2019
3073140,71066,5/26/19,23,0,21.8,11.1,11.1,220,1015.1,6.4,0,11,0,93.2,63.5,203.9,71.4,11.8,29.8,11.1,                          M=1:          ,1,CYOJ,65.9207548,HIGH+LEVEL+A,-117.167,58.617,338,6/1/20,,L,4, , ,AB-2019-HWF064,2010-2019,242,64,4, ,HWF064,Wildfire,59.569,-117.2175, ,, ,0.2,AB,AB,1,5,2019
2201579,71497,5/26/19,27.1,7.2,28,15.5,22.8,218,1009.5,19.5,0,1,0,92.5,79.8,433.2,109.3,13.4,39.7,18.4,                          M=1:          ,1,CWJL,38.20068048,FORT+LIARD,-123.467,60.233,213,5/5/20,,L,4, , ,BC-2019-2019-G90363,2010-2019,252,66,4, ,2019-G90363,Fire,59.8562,-124.273, ,, ,5602,BC,BC,1,5,2019
