lat,lng,reportDate,startDate,endDate,peakDate,duration,maxSize,aveSize,increaseSpreadRate,decreaseSpreadRate,movementDirection,movementDirectionNum,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,ffmc,dmc,dc,bui,isi,fwi,dsr
63.05328333,-139.20955,Thu May 23 00:00:00 EDT 2019,Thu May 23 00:00:00 EDT 2019,Fri May 24 00:00:00 EDT 2019,Thu May 23 00:00:00 EDT 2019,1,3.31237496792515,3.31237496792515,NaN,NaN,SW,2,21.0,3.5,31.0,13.0,19.3,42,1011.0,32.2,0.8,0,90.0,66.4,186.9,70.4,8.3,23.2,7.1
63.64226667,-137.9234167,Thu May 23 00:00:00 EDT 2019,Thu May 23 00:00:00 EDT 2019,Fri May 24 00:00:00 EDT 2019,Thu May 23 00:00:00 EDT 2019,1,3.31237496792515,3.31237496792515,NaN,NaN,SW,2,21.0,3.5,31.0,13.0,19.3,42,1011.0,32.2,0.8,0,90.0,66.4,186.9,70.4,8.3,23.2,7.1
54.6577,-104.77655,Thu May 23 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,Fri May 24 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,3,1.0,0.8345599771744814,NaN,-0.19793759870890001,NW,0,15.8,2.7,41.6,22.2,31.2,120,1016.0,19.5,0.0,10,90.1,25.9,72.1,27.3,13.4,20.3,5.6
59.561033,-117.338117,Sun May 26 00:00:00 EDT 2019,Fri May 17 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,17,262.6647683854825,60.09180079706616,Infinity,-0.9759999494532396,SE,3,23.0,0.0,21.8,11.1,11.1,220,1015.1,6.4,0.0,11,93.2,63.5,203.9,71.4,11.8,29.8,11.1
59.569,-117.2175,Sun May 26 00:00:00 EDT 2019,Fri May 17 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,17,262.6647683854825,60.09180079706616,Infinity,-0.9759999494532396,SE,3,23.0,0.0,21.8,11.1,11.1,220,1015.1,6.4,0.0,11,93.2,63.5,203.9,71.4,11.8,29.8,11.1
59.8562,-124.273,Sun May 26 00:00:00 EDT 2019,Sun May 26 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Tue May 28 00:00:00 EDT 2019,5,10.122805244514721,7.150900881032447,3.7211846953276932,-0.1050641275150377,NE,1,27.1,7.2,28.0,15.5,22.8,218,1009.5,19.5,0.0,1,92.5,79.8,433.2,109.3,13.4,39.7,18.4
59.606867,-117.434033,Mon May 27 00:00:00 EDT 2019,Fri May 17 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,17,262.6647683854825,60.09180079706616,Infinity,-0.9759999494532396,SE,3,22.0,6.0,35.5,14.8,14.8,140,1011.6,14.5,0.0,12,92.2,67.5,210.3,74.9,12.3,31.5,12.2
59.5711,-128.6357,Mon May 27 00:00:00 EDT 2019,Sun May 26 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,5,6.712894771912959,3.4075508226347466,0.9011715067486064,NaN,NW,0,23.9,-4.7,14.0,11.4,21.7,255,1011.2,64.4,0.0,3,95.2,77.6,106.0,77.1,15.8,37.5,16.6
60.069666,-116.4715,Mon May 27 00:00:00 EDT 2019,Fri May 17 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,17,216.15452140854072,52.11740804721149,Infinity,10.261956090908397,SE,3,11.7,1.7,50.0,15.6,20.6,68,1012.2,23.7,0.0,12,89.1,38.4,308.5,58.5,8.3,21.1,6.0
60.31503333,-126.26335,Mon May 27 00:00:00 EDT 2019,Sun May 26 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Tue May 28 00:00:00 EDT 2019,5,10.122805244514721,5.376892302925022,0.6720470364418691,0.1016604473360086,NE,1,26.7,5.8,26.0,5.8,9.5,219,1006.2,27.7,0.0,7,93.0,53.2,299.3,73.6,8.8,24.9,8.0
58.9847,-111.5947,Tue May 28 00:00:00 EDT 2019,Sun May 19 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,Wed May 29 00:00:00 EDT 2019,13,47.78439544095237,15.451366784039838,5.470970708755511,-0.39414974488016397,NW,0,22.5,4.7,31.0,9.5,16.2,75,1008.7,19.9,0.0,12,92.5,41.2,64.0,40.9,9.8,19.8,5.4
50.5571,-119.6156,Tue May 28 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Tue May 28 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,1,2.988897166123457,2.988897166123457,NaN,NaN,NW,0,22.6,7.1,37.0,3.0,5.2,338,1013.3,30.0,0.0,3,89.9,67.4,240.1,79.2,4.9,17.0,4.1
59.8393,-128.1051,Tue May 28 00:00:00 EDT 2019,Sun May 26 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Wed May 29 00:00:00 EDT 2019,5,8.98514109104064,4.2017485408880075,1.2160676137817883,-0.25288933096369604,NW,0,22.8,1.5,25.0,22.1,36.2,255,1012.3,64.4,0.0,4,94.4,82.6,112.5,82.0,24.1,50.7,28.4
59.5408,-123.7908,Thu May 30 00:00:00 EDT 2019,Sun May 26 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Tue May 28 00:00:00 EDT 2019,5,10.122805244514721,7.150900881032447,3.7211846953276932,-0.1050641275150377,NE,1,14.9,5.1,52.0,5.9,14.5,275,1020.0,34.8,0.2,0,89.6,97.7,459.1,127.6,5.4,23.0,7.0
50.5578,-121.7371,Thu May 30 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,2,2.521834520070935,1.9209172600354925,NaN,NaN,SW,2,27.8,8.3,29.0,10.2,20.18641026,268,1011.5,25.5,0.0,3,92.7,30.7,204.9,44.7,10.4,21.7,6.3
51.4702,-120.5187,Thu May 30 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Tue May 28 00:00:00 EDT 2019,4,2.048639944238269,1.417220051582971,NaN,0.231925023637152,SE,3,28.6,2.7,19.0,7.2,11.7,140,1008.4,29.7,0.0,1,96.1,124.4,242.6,124.1,14.4,43.7,21.8
51.6909,-120.4977,Thu May 30 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Tue May 28 00:00:00 EDT 2019,4,2.048639944238269,1.417220051582971,NaN,0.231925023637152,SE,3,28.6,2.7,19.0,7.2,11.7,140,1008.4,29.7,0.0,1,96.1,124.4,242.6,124.1,14.4,43.7,21.8
50.5915,-120.6344,Fri May 31 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,1,2.521834520070935,2.521834520070935,NaN,NaN,NW,0,26.1,6.1,28.0,4.7,7.2,186,1013.3,19.2,0.0,5,93.8,78.2,330.3,98.2,9.2,29.6,10.9
55.615667,-119.705067,Fri May 31 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Wed May 29 00:00:00 EDT 2019,6,242.95447805203494,86.15048392958624,-0.708428186837447,1.5418781240203143,SW,2,24.0,12.0,47.1,9.3,9.3,170,1013.4,2.0,0.0,1,90.2,79.3,371.0,103.3,7.0,25.1,8.2
55.722017,-115.513183,Sat Jun 01 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,22.0,11.0,49.8,16.7,27.8,80,1007.8,4.8,0.0,8,88.6,74.7,334.0,95.8,8.2,27.0,9.3
58.2057,-115.876467,Sat Jun 01 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,7,62.38107044181278,32.82542419797836,8.02399008641701,NaN,SE,3,15.5,6.2,54.0,13.8,31.3,95,1006.5,16.5,1.8,0,76.1,55.9,64.1,55.4,1.6,5.3,0.5
